year,statefips,ds_pm_pred
2011,1,10.696324437289554
2011,10,9.671608988786238
2011,11,10.415272176811816
2011,12,7.455681584310381
2011,13,11.359918643232988
2011,16,7.449902828592443
2011,17,11.430606496927135
2011,18,11.275902907946659
2011,19,9.757196170085513
2011,20,9.621566961334282
2011,21,10.726707831852079
2011,22,9.506627916861331
2011,23,7.461491780470671
2011,24,10.055128276224917
2011,25,9.146102532474687
2011,26,9.751413608082637
2011,27,9.65503210819763
2011,28,9.671156144840735
2011,29,10.774184335641023
2011,30,6.107897531213668
2011,31,8.925192303872695
2011,32,7.895413536069071
2011,33,8.237888843148363
2011,34,10.064819616910016
2011,35,7.082001216306586
2011,36,9.896826430262764
2011,37,9.869310797420844
2011,38,7.254055359652523
2011,39,11.594088866671317
2011,4,7.92936634641735
2011,40,10.038760245441211
2011,41,8.461731813219426
2011,42,10.711203866038724
2011,44,8.663715005752288
2011,45,10.437552770267604
2011,46,7.475314156065655
2011,47,10.351708867682397
2011,48,9.797758917583472
2011,49,8.043422210329885
2011,5,10.597298254023723
2011,50,7.74679317418106
2011,51,9.431203860128181
2011,53,7.798951051428517
2011,54,10.136150492556323
2011,55,9.807034482545294
2011,56,5.90001878902034
2011,6,10.431304434857562
2011,8,6.43869466436711
2011,9,9.28439758352529
2012,1,10.396600680395074
2012,10,9.356773149574279
2012,11,9.99627595323137
2012,12,7.0111353336411
2012,13,10.041768215571545
2012,16,7.531260417812741
2012,17,11.200065961326673
2012,18,11.015159810156397
2012,19,9.641992122205663
2012,20,9.173640311794763
2012,21,10.10686893420569
2012,22,9.221427904707123
2012,23,7.159167298429156
2012,24,9.88919862570658
2012,25,8.367248967020076
2012,26,9.748496410374817
2012,27,9.883002895560877
2012,28,9.350136332184222
2012,29,10.201070761104508
2012,30,6.155631822535438
2012,31,9.186989350938822
2012,32,7.170197731325713
2012,33,7.814834294063166
2012,34,9.271080222233129
2012,35,6.983577346770043
2012,36,9.067113055638249
2012,37,9.119565474764307
2012,38,7.671576092229775
2012,39,11.273621510059022
2012,4,7.608312287562039
2012,40,9.377211972489526
2012,41,7.508069092790708
2012,42,10.493728047378085
2012,44,7.642586924925742
2012,45,9.376016783727105
2012,46,7.844505034214542
2012,47,9.79569507431986
2012,48,9.518427960788658
2012,49,7.680947192530018
2012,5,9.955148721900938
2012,50,7.183914645105726
2012,51,8.904840478775473
2012,53,7.369401668346013
2012,54,9.524330081967213
2012,55,9.455731316587344
2012,56,6.258089242217254
2012,6,9.805871081700446
2012,8,6.920251361263874
2012,9,8.072118582794466
2013,1,10.039805406020891
2013,10,9.101278870978018
2013,11,9.326067107981939
2013,12,6.568759363567113
2013,13,9.552342040189158
2013,16,7.793847006527535
2013,17,10.808082583681907
2013,18,10.90940483957705
2013,19,9.342006667164799
2013,20,8.926310463262765
2013,21,10.072507501812151
2013,22,8.602906072867099
2013,23,6.806422596261172
2013,24,9.283895440537725
2013,25,8.17460219915128
2013,26,9.119818627317117
2013,27,9.189264631470935
2013,28,9.135315022609993
2013,29,10.016234007493436
2013,30,5.142914664004448
2013,31,8.384523288546709
2013,32,7.369920351139558
2013,33,7.547213580496866
2013,34,9.322217845268367
2013,35,6.281155015181047
2013,36,8.958054203235012
2013,37,8.51418040167595
2013,38,6.557418720213832
2013,39,10.67417426954589
2013,4,6.686456663458949
2013,40,9.172125510097174
2013,41,8.532596018011468
2013,42,9.885931721965074
2013,44,7.731762917978742
2013,45,8.757849306102571
2013,46,7.031216845242503
2013,47,9.466286255616255
2013,48,9.281819001037696
2013,49,10.090149445997577
2013,5,9.724698874675506
2013,50,7.018679490172722
2013,51,8.353864172654705
2013,53,7.73835439317339
2013,54,8.895082940450583
2013,55,8.935372675897285
2013,56,5.198567156704027
2013,6,10.608746650316909
2013,8,6.483024370137206
2013,9,8.406928676999851
2014,1,11.007063667375417
2014,10,9.658788575979611
2014,11,9.799117248029387
2014,12,7.57057951835382
2014,13,10.808668406285746
2014,16,8.154183201801968
2014,17,12.126284637519587
2014,18,11.816501027669779
2014,19,9.182765432959734
2014,20,8.987404812204234
2014,21,10.838099685975797
2014,22,8.979991549339101
2014,23,6.833292146040667
2014,24,9.911095930150744
2014,25,7.251954599538416
2014,26,10.195035843581334
2014,27,7.318106526540455
2014,28,9.736387042049199
2014,29,10.090700268524619
2014,30,6.293447966132538
2014,31,8.270180557317952
2014,32,7.354928415146258
2014,33,7.164422242767588
2014,34,9.445353205588822
2014,35,6.177073354434897
2014,36,9.104991517308461
2014,37,9.877456636195996
2014,38,5.611284224924825
2014,39,11.393318025741893
2014,4,7.573241973428607
2014,40,9.355247949396265
2014,41,7.621609291273526
2014,42,10.810288979590446
2014,44,6.544729674757006
2014,45,9.829808071827275
2014,46,6.181640226212514
2014,47,10.035333080700213
2014,48,9.764691022041915
2014,49,7.275825265212934
2014,5,9.887295091297576
2014,50,6.394618451161406
2014,51,8.926609984352671
2014,53,7.215197740217967
2014,54,9.486480780199253
2014,55,9.442966868483331
2014,56,4.231557677874637
2014,6,10.691320571951884
2014,8,6.674491234741218
2014,9,8.201116245154254
